run,status,duration_ms
200,SUCCESS,1.22
201,SUCCESS,0.61
202,SUCCESS,2.26
203,SUCCESS,0.51
204,SUCCESS,1.34
205,SUCCESS,0.9
206,SUCCESS,1.9
207,SUCCESS,0.64
208,SUCCESS,0.16
209,SUCCESS,1.24
210,SUCCESS,0.27
211,SUCCESS,1.61
212,SUCCESS,1.77
213,SUCCESS,0.69
214,SUCCESS,0.11
215,SUCCESS,1.95
216,SUCCESS,1.12
217,SUCCESS,2.4
218,SUCCESS,0.22
219,SUCCESS,2.14
220,SUCCESS,2.02
221,SUCCESS,2.47
222,SUCCESS,2.38
223,SUCCESS,1.57
224,SUCCESS,1.31
225,SUCCESS,1.41
226,SUCCESS,1.88
227,SUCCESS,0.72
228,SUCCESS,1.63
229,SUCCESS,1.35
230,SUCCESS,0.76
231,SUCCESS,0.79
232,SUCCESS,0.87
233,SUCCESS,0.43
234,SUCCESS,1.77
235,SUCCESS,0.25
236,SUCCESS,1.4
237,SUCCESS,0.6
238,SUCCESS,2.27
239,SUCCESS,1.77
240,SUCCESS,1.94
241,SUCCESS,0.11
242,SUCCESS,1.91
243,SUCCESS,2.39
244,SUCCESS,1.89
245,SUCCESS,1.55
246,SUCCESS,0.63
247,SUCCESS,0.17
248,SUCCESS,1.73
249,SUCCESS,0.5
250,SUCCESS,0.41
251,SUCCESS,0.16
252,SUCCESS,1.45
253,SUCCESS,1.64
254,SUCCESS,1.21
255,SUCCESS,1.01
256,SUCCESS,0.88
257,SUCCESS,1.01
258,SUCCESS,2.1
259,SUCCESS,0.3
260,SUCCESS,1.39
261,SUCCESS,0.94
262,SUCCESS,1.97
263,SUCCESS,1.91
264,SUCCESS,0.58
265,SUCCESS,0.47
266,SUCCESS,1.71
267,SUCCESS,0.62
268,SUCCESS,1.94
269,SUCCESS,1.56
270,SUCCESS,0.37
271,SUCCESS,2.42
272,SUCCESS,0.16
273,SUCCESS,1.73
274,SUCCESS,1.05
275,SUCCESS,0.28
276,SUCCESS,1.61
277,SUCCESS,1.95
278,SUCCESS,1.54
279,SUCCESS,2.46
280,SUCCESS,0.93
281,SUCCESS,0.99
282,SUCCESS,0.92
283,SUCCESS,2.07
284,SUCCESS,2.41
285,SUCCESS,2.09
286,SUCCESS,1.15
287,SUCCESS,2.42
288,SUCCESS,2.04
289,SUCCESS,1.26
290,SUCCESS,1.85
291,SUCCESS,2.14
292,SUCCESS,0.31
293,SUCCESS,0.69
294,SUCCESS,1.56
295,SUCCESS,0.17
296,SUCCESS,0.54
297,SUCCESS,2.01
298,SUCCESS,2.21
299,SUCCESS,0.76
300,SUCCESS,2.38
301,SUCCESS,1.83
302,SUCCESS,1.92
303,SUCCESS,1.65
304,SUCCESS,2.0
305,SUCCESS,0.63
306,SUCCESS,0.83
307,SUCCESS,1.24
308,SUCCESS,1.12
309,SUCCESS,0.89
310,SUCCESS,0.75
311,SUCCESS,0.39
312,SUCCESS,0.39
313,SUCCESS,1.93
314,SUCCESS,0.62
315,SUCCESS,1.84
316,SUCCESS,1.36
317,SUCCESS,0.34
318,SUCCESS,0.65
319,SUCCESS,0.13
320,SUCCESS,0.76
321,SUCCESS,1.43
322,SUCCESS,0.4
323,SUCCESS,1.28
324,SUCCESS,1.48
325,SUCCESS,1.16
326,SUCCESS,0.22
327,SUCCESS,1.25
328,SUCCESS,1.06
329,SUCCESS,1.61
330,SUCCESS,0.46
331,SUCCESS,0.83
332,SUCCESS,0.38
333,SUCCESS,1.56
334,SUCCESS,0.64
335,SUCCESS,1.18
336,SUCCESS,2.16
337,SUCCESS,0.83
338,SUCCESS,1.56
339,SUCCESS,2.37
340,SUCCESS,0.61
341,SUCCESS,0.48
342,SUCCESS,0.28
343,SUCCESS,1.18
344,SUCCESS,0.8
345,SUCCESS,1.8
346,SUCCESS,1.19
347,SUCCESS,2.32
348,SUCCESS,1.6
349,SUCCESS,2.34
350,SUCCESS,1.41
351,SUCCESS,2.28
352,SUCCESS,0.27
353,SUCCESS,0.84
354,SUCCESS,1.47
355,SUCCESS,0.4
356,SUCCESS,1.78
357,SUCCESS,1.3
358,SUCCESS,0.29
359,SUCCESS,1.14
360,SUCCESS,0.7
361,SUCCESS,2.41
362,SUCCESS,1.48
363,SUCCESS,2.5
364,SUCCESS,0.75
365,SUCCESS,1.92
366,SUCCESS,1.66
367,SUCCESS,0.54
368,SUCCESS,1.62
369,SUCCESS,0.32
370,SUCCESS,0.9
371,SUCCESS,2.16
372,SUCCESS,1.76
373,SUCCESS,2.37
374,SUCCESS,1.42
375,SUCCESS,0.85
376,SUCCESS,2.43
377,SUCCESS,1.34
378,SUCCESS,1.68
379,SUCCESS,1.09
380,SUCCESS,0.97
381,SUCCESS,1.6
382,SUCCESS,0.59
383,SUCCESS,2.33
384,SUCCESS,1.78
385,SUCCESS,2.44
386,SUCCESS,0.67
387,SUCCESS,1.42
388,SUCCESS,0.32
389,SUCCESS,2.29
390,SUCCESS,0.38
391,SUCCESS,1.3
392,SUCCESS,1.32
393,SUCCESS,2.1
394,SUCCESS,0.68
395,SUCCESS,1.02
396,SUCCESS,1.32
397,SUCCESS,2.17
398,SUCCESS,2.0
399,SUCCESS,2.34
400,SUCCESS,2.07
401,SUCCESS,0.82
402,SUCCESS,2.5
403,SUCCESS,0.46
404,SUCCESS,0.93
405,SUCCESS,1.4
406,SUCCESS,0.87
407,SUCCESS,1.77
408,SUCCESS,0.66
409,SUCCESS,0.2
410,SUCCESS,1.79
411,SUCCESS,1.03
412,SUCCESS,2.07
413,SUCCESS,1.29
414,SUCCESS,1.31
415,SUCCESS,2.19
416,SUCCESS,1.16
417,SUCCESS,1.2
418,SUCCESS,1.08
419,SUCCESS,0.47
420,SUCCESS,2.43
421,SUCCESS,1.76
422,SUCCESS,2.14
423,SUCCESS,2.16
424,SUCCESS,0.86
425,SUCCESS,1.92
426,SUCCESS,0.19
427,SUCCESS,1.61
428,SUCCESS,2.49
429,SUCCESS,1.14
430,SUCCESS,1.62
431,SUCCESS,1.16
432,SUCCESS,2.27
433,SUCCESS,2.01
434,SUCCESS,1.0
435,SUCCESS,1.37
436,SUCCESS,2.0
437,SUCCESS,0.29
438,SUCCESS,1.59
439,SUCCESS,2.29
440,SUCCESS,1.21
441,SUCCESS,0.71
442,SUCCESS,2.03
443,SUCCESS,1.73
444,SUCCESS,1.16
445,SUCCESS,1.51
446,SUCCESS,1.12
447,SUCCESS,2.13
448,SUCCESS,1.02
449,SUCCESS,0.67
450,SUCCESS,1.48
451,SUCCESS,0.81
452,SUCCESS,1.68
453,SUCCESS,1.46
454,SUCCESS,1.89
455,SUCCESS,1.56
456,SUCCESS,2.27
457,SUCCESS,2.02
458,SUCCESS,0.95
459,SUCCESS,1.59
460,SUCCESS,1.83
461,SUCCESS,2.11
462,SUCCESS,2.27
463,SUCCESS,0.84
464,SUCCESS,1.49
465,SUCCESS,0.32
466,SUCCESS,1.89
467,SUCCESS,0.42
468,SUCCESS,2.43
469,SUCCESS,2.29
470,SUCCESS,0.72
471,SUCCESS,1.26
472,SUCCESS,1.89
473,SUCCESS,0.38
474,SUCCESS,0.44
475,SUCCESS,2.16
476,SUCCESS,2.45
477,SUCCESS,2.03
478,SUCCESS,2.0
479,SUCCESS,1.39
480,SUCCESS,1.71
481,SUCCESS,1.5
482,SUCCESS,2.36
483,SUCCESS,0.66
484,SUCCESS,2.22
485,SUCCESS,2.3
486,SUCCESS,0.25
487,SUCCESS,2.28
488,SUCCESS,1.08
489,SUCCESS,2.37
490,SUCCESS,1.28
491,SUCCESS,2.23
492,SUCCESS,1.19
493,SUCCESS,1.88
494,SUCCESS,1.11
495,SUCCESS,0.47
496,SUCCESS,0.34
497,SUCCESS,1.08
498,SUCCESS,0.18
499,SUCCESS,1.16
500,SUCCESS,2.15
501,SUCCESS,1.75
502,SUCCESS,2.45
503,SUCCESS,1.06
504,SUCCESS,0.39
505,SUCCESS,1.19
506,SUCCESS,1.64
507,SUCCESS,0.15
508,SUCCESS,0.68
509,SUCCESS,1.45
510,SUCCESS,1.94
511,SUCCESS,0.62
512,SUCCESS,0.89
513,SUCCESS,2.26
514,SUCCESS,2.16
515,SUCCESS,0.41
516,SUCCESS,0.52
517,SUCCESS,0.16
518,SUCCESS,2.0
519,SUCCESS,0.88
520,SUCCESS,0.23
521,SUCCESS,1.36
522,SUCCESS,1.24
523,SUCCESS,1.33
524,SUCCESS,1.31
525,SUCCESS,0.2
526,SUCCESS,2.18
527,SUCCESS,1.2
528,SUCCESS,0.25
529,SUCCESS,1.06
530,SUCCESS,1.28
531,SUCCESS,0.28
532,SUCCESS,1.56
533,SUCCESS,0.76
534,SUCCESS,1.42
535,SUCCESS,2.49
536,SUCCESS,1.19
537,SUCCESS,0.34
538,SUCCESS,2.15
539,SUCCESS,1.95
540,SUCCESS,0.62
541,SUCCESS,0.65
542,SUCCESS,1.19
543,SUCCESS,0.33
544,SUCCESS,1.7
545,SUCCESS,0.47
546,SUCCESS,0.26
547,SUCCESS,0.32
548,SUCCESS,1.87
549,SUCCESS,1.44
550,SUCCESS,1.45
551,SUCCESS,0.39
552,SUCCESS,1.7
553,SUCCESS,2.18
554,SUCCESS,2.42
555,SUCCESS,0.94
556,SUCCESS,0.61
557,SUCCESS,0.64
558,SUCCESS,2.13
559,SUCCESS,1.93
560,SUCCESS,2.04
561,SUCCESS,2.44
562,SUCCESS,1.57
563,SUCCESS,0.16
564,SUCCESS,2.09
565,SUCCESS,0.53
566,SUCCESS,0.84
567,SUCCESS,0.11
568,SUCCESS,1.46
569,SUCCESS,0.44
570,SUCCESS,0.17
571,SUCCESS,0.62
572,SUCCESS,0.92
573,SUCCESS,1.83
574,SUCCESS,1.46
575,SUCCESS,0.23
576,SUCCESS,1.58
577,SUCCESS,0.75
578,SUCCESS,1.27
579,SUCCESS,0.76
580,SUCCESS,0.37
581,SUCCESS,0.78
582,SUCCESS,1.27
583,SUCCESS,0.21
584,SUCCESS,1.54
585,SUCCESS,0.82
586,SUCCESS,0.43
587,SUCCESS,0.89
588,SUCCESS,1.89
589,SUCCESS,1.01
590,SUCCESS,1.3
591,SUCCESS,2.03
592,SUCCESS,2.17
593,SUCCESS,0.14
594,SUCCESS,2.17
595,SUCCESS,1.48
596,SUCCESS,1.1
597,SUCCESS,0.15
598,SUCCESS,2.02
599,SUCCESS,2.1
600,SUCCESS,0.31
601,SUCCESS,0.68
602,SUCCESS,1.36
603,SUCCESS,0.84
604,SUCCESS,0.9
605,SUCCESS,1.33
606,SUCCESS,1.32
607,SUCCESS,0.94
608,SUCCESS,2.07
609,SUCCESS,0.67
610,SUCCESS,0.57
611,SUCCESS,1.92
612,SUCCESS,0.53
613,SUCCESS,1.29
614,SUCCESS,1.92
615,SUCCESS,2.32
616,SUCCESS,1.62
617,SUCCESS,2.17
618,SUCCESS,0.46
619,SUCCESS,1.16
620,SUCCESS,0.76
621,SUCCESS,1.32
622,SUCCESS,1.18
623,SUCCESS,2.1
624,SUCCESS,2.17
625,SUCCESS,1.58
626,SUCCESS,1.21
627,SUCCESS,2.0
628,SUCCESS,1.18
629,SUCCESS,1.66
630,SUCCESS,1.24
631,SUCCESS,0.25
632,SUCCESS,2.26
633,SUCCESS,1.81
634,SUCCESS,0.51
635,SUCCESS,1.15
636,SUCCESS,1.35
637,SUCCESS,0.99
638,SUCCESS,1.08
639,SUCCESS,1.53
640,SUCCESS,1.65
641,SUCCESS,0.33
642,SUCCESS,0.78
643,SUCCESS,1.68
644,SUCCESS,2.2
645,SUCCESS,1.5
646,SUCCESS,0.94
647,SUCCESS,1.78
648,SUCCESS,1.53
649,SUCCESS,0.84
650,SUCCESS,2.0
651,SUCCESS,1.71
652,SUCCESS,1.87
653,SUCCESS,1.36
654,SUCCESS,1.12
655,SUCCESS,0.97
656,SUCCESS,0.61
657,SUCCESS,1.27
658,SUCCESS,0.43
659,SUCCESS,2.13
660,SUCCESS,1.95
661,SUCCESS,2.22
662,SUCCESS,0.91
663,SUCCESS,0.41
664,SUCCESS,0.49
665,SUCCESS,1.95
666,SUCCESS,0.5
667,SUCCESS,1.09
668,SUCCESS,0.67
669,SUCCESS,0.78
670,SUCCESS,1.18
671,SUCCESS,0.84
672,SUCCESS,1.23
673,SUCCESS,0.98
674,SUCCESS,2.46
675,SUCCESS,0.78
676,SUCCESS,1.37
677,SUCCESS,2.06
678,SUCCESS,0.43
679,SUCCESS,1.64
680,SUCCESS,1.43
681,SUCCESS,2.13
682,SUCCESS,0.78
683,SUCCESS,0.75
684,SUCCESS,0.45
685,SUCCESS,2.37
686,SUCCESS,1.18
687,SUCCESS,0.16
688,SUCCESS,1.3
689,SUCCESS,2.49
690,SUCCESS,0.17
691,SUCCESS,2.11
692,SUCCESS,2.0
693,SUCCESS,0.79
694,SUCCESS,1.77
695,SUCCESS,1.79
696,SUCCESS,0.11
697,SUCCESS,0.71
698,SUCCESS,1.42
699,SUCCESS,1.37
700,SUCCESS,0.79
701,SUCCESS,0.21
702,SUCCESS,2.01
703,SUCCESS,0.37
704,SUCCESS,1.53
705,SUCCESS,1.34
706,SUCCESS,0.44
707,SUCCESS,1.58
708,SUCCESS,1.1
709,SUCCESS,0.31
710,SUCCESS,0.26
711,SUCCESS,1.32
712,SUCCESS,1.43
713,SUCCESS,1.23
714,SUCCESS,2.45
715,SUCCESS,0.14
716,SUCCESS,0.93
717,SUCCESS,1.61
718,SUCCESS,1.86
719,SUCCESS,0.21
720,SUCCESS,2.05
721,SUCCESS,1.97
722,SUCCESS,1.77
723,SUCCESS,2.05
724,SUCCESS,1.96
725,SUCCESS,0.8
726,SUCCESS,0.58
727,SUCCESS,2.34
728,SUCCESS,2.47
729,SUCCESS,0.71
730,SUCCESS,0.56
731,SUCCESS,1.97
732,SUCCESS,0.9
733,SUCCESS,0.98
734,SUCCESS,1.88
735,SUCCESS,1.03
736,SUCCESS,1.29
737,SUCCESS,2.32
738,SUCCESS,2.02
739,SUCCESS,0.29
740,SUCCESS,2.07
741,SUCCESS,0.87
742,SUCCESS,1.69
743,SUCCESS,1.55
744,SUCCESS,1.76
745,SUCCESS,0.2
746,SUCCESS,0.95
747,SUCCESS,0.76
748,SUCCESS,2.37
749,SUCCESS,1.63
750,SUCCESS,2.02
751,SUCCESS,2.39
752,SUCCESS,1.56
753,SUCCESS,0.18
754,SUCCESS,1.97
755,SUCCESS,1.02
756,SUCCESS,1.55
757,SUCCESS,2.38
758,SUCCESS,1.93
759,SUCCESS,1.37
760,SUCCESS,1.66
761,SUCCESS,0.37
762,SUCCESS,1.3
763,SUCCESS,1.45
764,SUCCESS,0.72
765,SUCCESS,2.49
766,SUCCESS,2.3
767,SUCCESS,0.39
768,SUCCESS,1.18
769,SUCCESS,1.17
770,SUCCESS,1.74
771,SUCCESS,0.87
772,SUCCESS,0.26
773,SUCCESS,2.24
774,SUCCESS,1.81
775,SUCCESS,1.63
776,SUCCESS,1.32
777,SUCCESS,0.58
778,SUCCESS,2.0
779,SUCCESS,1.43
780,SUCCESS,2.03
781,SUCCESS,1.57
782,SUCCESS,0.84
783,SUCCESS,1.83
784,SUCCESS,1.95
785,SUCCESS,0.28
786,SUCCESS,1.64
787,SUCCESS,1.73
788,SUCCESS,2.21
789,SUCCESS,1.64
790,SUCCESS,2.42
791,SUCCESS,2.29
792,SUCCESS,0.4
793,SUCCESS,0.5
794,SUCCESS,1.8
795,SUCCESS,2.36
796,SUCCESS,2.13
797,SUCCESS,1.62
798,SUCCESS,0.4
799,SUCCESS,1.38
800,SUCCESS,0.5
801,SUCCESS,0.47
802,SUCCESS,1.83
803,SUCCESS,2.12
804,SUCCESS,2.08
805,SUCCESS,0.21
806,SUCCESS,1.48
807,SUCCESS,1.94
808,SUCCESS,1.63
809,SUCCESS,1.61
810,SUCCESS,2.4
811,SUCCESS,2.03
812,SUCCESS,0.81
813,SUCCESS,0.24
814,SUCCESS,1.26
815,SUCCESS,1.56
816,SUCCESS,1.82
817,SUCCESS,2.17
818,SUCCESS,0.41
819,SUCCESS,1.45
820,SUCCESS,1.22
821,SUCCESS,0.7
822,SUCCESS,0.8
823,SUCCESS,1.58
824,SUCCESS,2.18
825,SUCCESS,0.89
826,SUCCESS,0.85
827,SUCCESS,1.3
828,SUCCESS,1.3
829,SUCCESS,0.16
830,SUCCESS,1.31
831,SUCCESS,0.62
832,SUCCESS,0.22
833,SUCCESS,2.22
834,SUCCESS,1.23
835,SUCCESS,2.13
836,SUCCESS,2.22
837,SUCCESS,1.93
838,SUCCESS,1.06
839,SUCCESS,0.57
840,SUCCESS,0.28
841,SUCCESS,1.93
842,SUCCESS,2.47
843,SUCCESS,0.39
844,SUCCESS,1.05
845,SUCCESS,0.91
846,SUCCESS,1.91
847,SUCCESS,1.32
848,SUCCESS,0.21
849,SUCCESS,0.9
850,SUCCESS,1.2
851,SUCCESS,1.34
852,SUCCESS,1.57
853,SUCCESS,2.48
854,SUCCESS,0.82
855,SUCCESS,2.09
856,SUCCESS,1.8
857,SUCCESS,2.06
858,SUCCESS,1.72
859,SUCCESS,1.5
860,SUCCESS,1.84
861,SUCCESS,0.16
862,SUCCESS,2.42
863,SUCCESS,1.96
864,SUCCESS,1.83
865,SUCCESS,0.51
866,SUCCESS,1.59
867,SUCCESS,0.45
868,SUCCESS,0.18
869,SUCCESS,0.36
870,SUCCESS,0.85
871,SUCCESS,1.76
872,SUCCESS,1.96
873,SUCCESS,2.19
874,SUCCESS,0.25
875,SUCCESS,0.6
876,SUCCESS,1.69
877,SUCCESS,0.85
878,SUCCESS,2.29
879,SUCCESS,0.95
880,SUCCESS,1.83
881,SUCCESS,1.76
882,SUCCESS,0.56
883,SUCCESS,1.44
884,SUCCESS,2.43
885,SUCCESS,0.79
886,SUCCESS,1.79
887,SUCCESS,0.94
888,SUCCESS,2.01
889,SUCCESS,0.39
890,SUCCESS,1.01
891,SUCCESS,2.06
892,SUCCESS,2.03
893,SUCCESS,0.79
894,SUCCESS,0.93
895,SUCCESS,0.72
896,SUCCESS,0.58
897,SUCCESS,2.34
898,SUCCESS,0.43
899,SUCCESS,1.51
900,SUCCESS,1.71
901,SUCCESS,1.63
902,SUCCESS,1.09
903,SUCCESS,0.34
904,SUCCESS,0.11
905,SUCCESS,2.33
906,SUCCESS,2.34
907,SUCCESS,1.25
908,SUCCESS,2.41
909,SUCCESS,1.65
910,SUCCESS,0.31
911,SUCCESS,1.38
912,SUCCESS,2.35
913,SUCCESS,0.52
914,SUCCESS,0.52
915,SUCCESS,2.49
916,SUCCESS,1.29
917,SUCCESS,2.41
918,SUCCESS,2.2
919,SUCCESS,1.46
920,SUCCESS,2.46
921,SUCCESS,2.47
922,SUCCESS,1.29
923,SUCCESS,2.14
924,SUCCESS,0.56
925,SUCCESS,0.49
926,SUCCESS,0.72
927,SUCCESS,1.87
928,SUCCESS,1.46
929,SUCCESS,0.52
930,SUCCESS,2.25
931,SUCCESS,1.34
932,SUCCESS,1.71
933,SUCCESS,0.44
934,SUCCESS,0.7
935,SUCCESS,0.67
936,SUCCESS,2.39
937,SUCCESS,1.83
938,SUCCESS,1.67
939,SUCCESS,0.25
940,SUCCESS,0.84
941,SUCCESS,1.31
942,SUCCESS,1.79
943,SUCCESS,0.38
944,SUCCESS,0.81
945,SUCCESS,0.63
946,SUCCESS,0.47
947,SUCCESS,1.55
948,SUCCESS,1.42
949,SUCCESS,1.39
950,SUCCESS,0.62
951,SUCCESS,1.91
952,SUCCESS,0.3
953,SUCCESS,1.79
954,SUCCESS,1.45
955,SUCCESS,1.41
956,SUCCESS,1.47
957,SUCCESS,0.89
958,SUCCESS,0.38
959,SUCCESS,1.5
960,SUCCESS,1.32
961,SUCCESS,1.19
962,SUCCESS,1.2
963,SUCCESS,1.21
964,SUCCESS,1.84
965,SUCCESS,2.06
966,SUCCESS,1.49
967,SUCCESS,0.93
968,SUCCESS,2.49
969,SUCCESS,0.27
970,SUCCESS,0.18
971,SUCCESS,1.95
972,SUCCESS,2.45
973,SUCCESS,1.11
974,SUCCESS,1.02
975,SUCCESS,2.28
976,SUCCESS,1.74
977,SUCCESS,1.39
978,SUCCESS,0.93
979,SUCCESS,1.39
980,SUCCESS,1.85
981,SUCCESS,0.11
982,SUCCESS,0.82
983,SUCCESS,1.41
984,SUCCESS,2.08
985,SUCCESS,0.93
986,SUCCESS,2.35
987,SUCCESS,0.37
988,SUCCESS,1.11
989,SUCCESS,2.22
990,SUCCESS,0.59
991,SUCCESS,0.18
992,SUCCESS,1.79
993,SUCCESS,1.88
994,SUCCESS,0.66
995,SUCCESS,2.17
996,SUCCESS,1.31
997,SUCCESS,2.06
998,SUCCESS,0.87
999,SUCCESS,1.71
1000,SUCCESS,0.82
